"id";"value";"url";"market_id"
109;"1696";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1696-adaptador-de-hilo-para-filtro-paso-arriba-de-72-a-77-3345400230556.html";2
113;"1704";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1704-adaptador-de-hilo-para-filtro-paso-abajo-de-52-a-43-9995810232530.html";2
7502;"BK-3MCCA8BA";"https://www.killstore.cl/pilas-aa-8u-panasonic-recargable-eneloop-2000-mah/p";9
100;"845";"https://www.apertura.cl/tienda/fotografoa-profesional/845-set-3-filtros-77mm-uv-polar-fld.html";2
123;"3697";"https://www.apertura.cl/tienda/drones/3697-drone-dji-mavic-air-2.html";2
122;"3698";"https://www.apertura.cl/tienda/drones/3698-drone-dji-mavic-mini-fly-more-combo.html";2
144;"3034";"https://www.apertura.cl/tienda/adaptadores/3034-yongnuo-ef-e-ii-adaptador-para-usar-lentes-canon-en-cuerpo-sony-e.html";2
121;"3699";"https://www.apertura.cl/tienda/drones/3699-drone-dji-mavic-mini-s.html";2
7499;"SDCFXPS-032G-A46";"https://www.killstore.cl/memoria-sandisk-cf-32gb-professional-udma-7-1067x---/p";9
124;"3696";"https://www.apertura.cl/tienda/drones/3696-drone-dji-mavic-air-2-fly-more-combo.html";2
118;"1690";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1690-adaptador-de-hilo-para-filtro-paso-arriba-de-37-a-43.html";2
112;"1702";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1702-adaptador-de-hilo-para-filtro-paso-abajo-de-62-a-55-9995810232523.html";2
7504;"LF-02-77";"https://www.killstore.cl/parasol-petalo-generico-77mm/p";9
101;"846";"https://www.apertura.cl/tienda/fotografoa-profesional/846-set-3-filtros-82-mm-uv-polar-fld.html";2
142;"2523";"https://www.apertura.cl/tienda/adaptadores/2523-sigma-usb-dock-para-nikon-permite-a-los-fotografos-actualizar-el-firmware-del-objetivo.html";2
131;"1567180246";"https://todocamaras.cl/films-recargas/416-film-fuji-instax-mini-pack-40-unidades.html";12
7505;"LF-04-49";"https://www.killstore.cl/parasol-petalo-generico-49mm/p";9
139;"760";"https://www.apertura.cl/tienda/adaptadores/760-adaptador-cuerpo-canon-usar-un-lente-leica-r.html";2
116;"1688";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1688-adaptador-de-hilo-para-filtro-paso-arriba-de-26-a-30.html";2
115;"2416";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/2416-adaptador-de-hilo-para-filtro-paso-arriba-de-67-a-77.html";2
103;"BCC-L-BK-1";"https://www.andesphoto.cl/bolso-peak-design-camera-cube-para-travel-backpack-large";1
7503;"RS-01-N";"https://www.killstore.cl/control-inalambrico-generico-para-camaras-nikon/p";9
104;"BCC-M-BK-1";"https://www.andesphoto.cl/bolso-peak-design-camera-cube-para-travel-backpack-medium";1
119;"1705";"https://www.apertura.cl/tienda/adaptadores-hilo-filtros/1705-adaptador-de-hilo-para-filtro-paso-abajo-de-43-a-37-9995810232509.html";2
128;"4547410217872";"https://todocamaras.cl/films-recargas/42-film-fuji-instax-mini.html";12
3972;"3616C016";"https://www.killstore.cl/canon-eos-90d--lente-ef-s-18-135mm-f-35-56-is-usm/p";9
127;"1489501943315";"https://todocamaras.cl/films-recargas/412-instax-mini-film-mono-chrome.html";12
