"id";"value";"revised_at";"product_sku_id";"product_id";"price_type_id"
12701;179990;"2020-08-19 22";4883;4993;1
12702;299990;"2020-08-19 22";4884;4994;2
12703;309290;"2020-08-19 22";4884;4994;1
12704;319990;"2020-08-19 22";4885;4995;2
12705;329890;"2020-08-19 22";4885;4995;1
12706;399990;"2020-08-19 22";4886;4996;2
12707;412390;"2020-08-19 22";4886;4996;1
12708;23990;"2020-08-23 11";4785;4898;2
12709;164890;"2020-09-07 23";4786;4899;2
12710;189990;"2020-08-23 11";4787;4900;2
12711;289990;"2020-08-23 11";4788;4901;2
12712;329990;"2020-08-23 11";4789;4902;2
12713;9990;"2020-08-23 13";4772;4885;2
12714;25990;"2020-08-23 13";4773;4886;2
12715;39990;"2020-08-23 13";4774;4887;2
12716;48390;"2020-08-25 21";4775;4888;2
12717;59990;"2020-08-23 13";4776;4889;2
12719;145490;"2020-08-20 09";4778;4891;2
12720;387990;"2020-08-20 21";4779;4892;2
12721;579990;"2020-08-25 21";4780;4893;2
12725;3134990;"2020-09-03 21";4784;4897;2
12729;5990;"2020-08-23 13";4793;4906;2
12732;33890;"2020-09-13 18";4796;4909;2
12733;43590;"2020-09-13 18";4797;4910;2
12734;54090;"2020-09-13 18";4798;4911;2
12735;80690;"2020-08-31 08";4799;4912;2
12736;82590;"2020-09-09 11";4800;4913;2
12738;299990;"2020-08-25 22";4802;4915;2
12739;309690;"2020-08-31 22";4803;4916;2
12740;1099990;"2020-08-19 22";4887;4997;2
12741;1133990;"2020-08-19 22";4887;4997;1
12742;77590;"2020-08-31 23";4877;4987;2
12743;77590;"2020-08-31 23";4878;4988;2
12745;96990;"2020-08-24 10";4880;4990;2
12747;6490;"2020-08-21 01";4813;4926;2
12754;116990;"2020-09-04 17";4820;4932;2
12756;199990;"2020-09-13 19";4822;4934;2
12759;142490;"2020-09-08 23";4825;4937;2
12761;189990;"2020-09-09 15";4827;4939;2
12764;252190;"2020-08-25 21";4830;4942;2
12765;261890;"2020-09-09 22";4831;4943;2
12766;303990;"2020-09-03 20";4832;4944;2
12767;313490;"2020-08-30 13";4833;1220;2
12768;320090;"2020-09-13 19";4834;4945;2
12769;1199990;"2020-08-30 17";4835;2806;2
12770;1369990;"2020-09-13 19";4836;4946;2
12771;1399990;"2020-09-13 19";4837;4947;2
12772;387990;"2020-09-13 18";4861;4971;2
12773;799990;"2020-08-25 20";4862;4972;2
12774;1260990;"2020-09-06 20";4863;4973;2
12775;1599990;"2020-08-31 22";4864;4974;2
12776;1745990;"2020-09-06 20";4865;4975;2
12777;1899990;"2020-08-19 23";4888;4998;2
12778;1958790;"2020-08-19 23";4888;4998;1
12779;1939990;"2020-09-06 20";4866;4976;2
12780;2899990;"2020-08-25 20";4867;4977;2
12781;184290;"2020-08-25 22";4812;4925;2
12783;170990;"2020-09-05 14";4883;4993;2
12784;299990;"2020-08-23 12";4884;4994;2
12785;319990;"2020-08-25 22";4885;4995;2
12786;399990;"2020-08-21 09";4886;4996;2
12787;349990;"2020-08-23 12";4868;4978;2
12788;399990;"2020-08-23 12";4869;4979;2
12790;439990;"2020-08-22 10";4871;4981;2
12791;539990;"2020-08-23 12";4872;4982;2
12792;549990;"2020-08-23 12";4873;4983;2
12793;727490;"2020-08-30 19";4874;4984;2
12794;1099990;"2020-08-23 12";4887;4997;2
12795;1299990;"2020-08-24 19";4875;4985;2
12796;1599990;"2020-08-23 12";4876;4986;2
12805;45490;"2020-09-13 18";4846;4956;2
12808;54990;"2020-09-13 18";4849;4959;2
12815;113990;"2020-08-21 12";4856;4966;2
12826;89990;"2020-08-25 20";4811;4924;2
12827;10589;"2020-08-20 04";2878;2986;1
12828;74200;"2020-08-19 23";2749;3007;1
12829;42400;"2020-08-19 23";2750;3009;1
12830;129990;"2020-08-19 23";4889;4684;1
12831;749900;"2020-09-02 10";4730;4843;1
12832;1757490;"2020-08-19 23";4047;4148;2
12833;1481990;"2020-08-19 23";1622;1750;2
12834;1500990;"2020-08-19 23";2628;2756;2
12835;3058990;"2020-08-19 23";2631;2759;2
12836;1757490;"2020-08-19 23";2639;2767;2
12837;1671990;"2020-08-19 23";1643;1771;2
12838;1899990;"2020-08-24 19";4888;4998;2
12839;189990;"2020-08-20 00";2283;2415;1
12840;455990;"2020-08-20 00";3704;3792;2
12841;109990;"2020-08-20 02";2969;2202;1
12842;503490;"2020-08-20 00";3696;3784;2
12843;332490;"2020-08-20 00";3698;3786;2
12844;313490;"2020-08-20 00";3680;3768;2
12845;1339490;"2020-08-20 00";3685;3773;2
12846;750490;"2020-08-20 00";3687;3775;2
12847;626990;"2020-08-20 00";3699;3787;2
12848;41650;"2020-08-21 15";415;442;1
12849;999990;"2020-08-20 00";2762;604;1
12850;827990;"2020-08-20 00";2763;601;1
12851;734990;"2020-08-20 00";2765;600;1
12852;344990;"2020-08-20 00";2767;597;1
12853;367990;"2020-08-20 00";2768;2537;1
12854;1364990;"2020-08-20 00";2771;605;1
12855;827990;"2020-08-20 00";2774;603;1
12856;1671990;"2020-08-20 00";3939;4034;2
12857;2678990;"2020-08-20 00";3940;4035;2
12858;2089990;"2020-08-20 00";3943;4038;2
12859;1671990;"2020-08-20 00";3941;4036;2
12860;199990;"2020-08-20 00";2940;3046;1
12861;10589;"2020-08-20 11";2878;3161;1
12863;41650;"2020-08-21 12";415;1153;1
12864;70000;"2020-08-20 00";2749;3007;1
12865;40000;"2020-08-20 00";2750;3009;1
12866;801877;"2020-08-20 01";2680;1250;1
12867;1280000;"2020-08-20 01";2685;1233;1
12868;1698104;"2020-08-30 18";2686;2806;2
12869;1799990;"2020-08-20 01";2686;2806;1
12870;189990;"2020-08-20 01";2689;1222;1
12871;649990;"2020-08-20 01";2738;1228;1
12872;299650;"2020-08-20 01";2741;1220;1
12873;310000;"2020-08-20 01";2741;1220;1
12874;120000;"2020-08-20 01";2742;1224;1
12875;320001;"2020-08-20 01";2746;1221;1
12876;74200;"2020-08-20 01";2749;2862;1
12877;42400;"2020-08-20 01";2750;2863;1
12878;499990;"2020-08-27 02";4072;4174;1
12879;159990;"2020-08-20 01";4890;4999;1
12880;319900;"2020-08-31 11";2084;2215;1
12882;2925990;"2020-08-20 01";4133;4236;2
12883;1671990;"2020-08-25 20";3939;4034;2
12884;1082990;"2020-08-20 01";4119;4222;2
12885;750490;"2020-08-20 01";4230;4333;2
